item_id,coder,order_index,in_overlap,M1,M2,M3,M5,M6,M7,M8,addressed_to,orientation,proc_substantial
R000,coder2,0,1,1,0,0,1,0,1,0,specific-tool,NORM,0
R001,coder2,1,1,1,1,0,1,0,1,0,generic,NORM,0
R002,coder2,2,1,1,0,0,1,0,1,0,both,NORM,0
R003,coder2,3,1,1,1,1,1,1,1,1,both,PROC,1
R004,coder2,4,1,1,0,1,1,0,1,0,specific-tool,NORM,0
R005,coder2,5,1,1,0,0,1,0,1,0,generic,NORM,0
R006,coder2,6,1,1,1,0,1,0,1,0,both,NORM,0
R007,coder2,7,1,1,0,0,1,0,1,0,generic,MIXED,1
R008,coder2,8,1,1,0,0,1,0,1,1,generic,NORM,0
R009,coder2,9,1,1,1,0,1,0,1,0,specific-tool,MIXED,1
R010,coder2,10,1,1,0,0,1,0,0,0,specific-tool,NORM,0
R011,coder2,11,1,1,0,0,1,0,1,0,generic,NORM,0
R012,coder2,12,1,1,0,0,1,1,1,1,generic,NORM,0
R013,coder2,13,1,1,1,0,1,0,1,0,generic,NORM,0
R014,coder2,14,1,1,0,0,1,0,1,0,specific-tool,NORM,0
R015,coder2,15,1,1,0,0,1,0,1,0,specific-tool,NORM,0
R016,coder2,16,1,1,1,0,0,0,0,0,generic,NORM,0
R017,coder2,17,1,1,0,0,1,0,1,0,specific-tool,NORM,0
R018,coder2,18,1,1,1,0,1,0,0,1,specific-tool,NORM,0
R019,coder2,19,1,1,0,0,1,0,0,0,generic,NORM,0
R020,coder2,20,1,1,0,0,1,0,1,0,generic,NORM,0
R021,coder2,21,1,1,0,0,1,1,1,1,both,NORM,0
R022,coder2,22,1,1,0,0,1,0,1,0,generic,NORM,0
R023,coder2,23,1,1,0,0,1,1,1,1,both,MIXED,1
R024,coder2,24,1,1,1,0,1,1,1,1,both,MIXED,1
R025,coder2,25,1,1,0,1,1,0,1,0,specific-tool,NORM,0
R026,coder2,26,1,1,0,0,1,0,1,0,generic,NORM,0
R027,coder2,27,1,1,0,0,1,0,1,0,generic,NORM,0
R028,coder2,28,1,1,0,0,1,0,1,0,specific-tool,NORM,0
R029,coder2,29,1,1,0,0,0,0,0,0,specific-tool,NORM,0
R030,coder2,30,0,0,0,0,0,0,0,0,,,
R031,coder2,31,0,0,0,0,0,0,0,0,,,
R032,coder2,32,0,0,0,0,0,0,0,0,,,
R033,coder2,33,0,0,0,0,0,0,0,0,,,
R034,coder2,34,0,0,0,0,0,0,0,0,,,
R035,coder2,35,0,0,0,0,0,0,0,0,,,
R036,coder2,36,0,0,0,0,0,0,0,0,,,
R037,coder2,37,0,0,0,0,0,0,0,0,,,
R038,coder2,38,0,0,0,0,0,0,0,0,,,
R039,coder2,39,0,0,0,0,0,0,0,0,,,
R040,coder2,40,0,0,0,0,0,0,0,0,,,
R041,coder2,41,0,0,0,0,0,0,0,0,,,
R042,coder2,42,0,0,0,0,0,0,0,0,,,
R043,coder2,43,0,0,0,0,0,0,0,0,,,
R044,coder2,44,0,0,0,0,0,0,0,0,,,
R045,coder2,45,0,0,0,0,0,0,0,0,,,
R046,coder2,46,0,0,0,0,0,0,0,0,,,
R047,coder2,47,0,0,0,0,0,0,0,0,,,
R048,coder2,48,0,0,0,0,0,0,0,0,,,
R049,coder2,49,0,0,0,0,0,0,0,0,,,
R050,coder2,50,0,0,0,0,0,0,0,0,,,
R051,coder2,51,0,0,0,0,0,0,0,0,,,
R052,coder2,52,0,0,0,0,0,0,0,0,,,
R053,coder2,53,0,0,0,0,0,0,0,0,,,
R054,coder2,54,0,0,0,0,0,0,0,0,,,
R055,coder2,55,0,0,0,0,0,0,0,0,,,
R056,coder2,56,0,0,0,0,0,0,0,0,,,
R057,coder2,57,0,0,0,0,0,0,0,0,,,
R058,coder2,58,0,0,0,0,0,0,0,0,,,
R059,coder2,59,0,0,0,0,0,0,0,0,,,
R060,coder2,60,0,0,0,0,0,0,0,0,,,
R061,coder2,61,0,0,0,0,0,0,0,0,,,
R062,coder2,62,0,0,0,0,0,0,0,0,,,
R063,coder2,63,0,0,0,0,0,0,0,0,,,
R064,coder2,64,0,0,0,0,0,0,0,0,,,
R065,coder2,65,0,0,0,0,0,0,0,0,,,
R066,coder2,66,0,0,0,0,0,0,0,0,,,
R067,coder2,67,0,0,0,0,0,0,0,0,,,
R068,coder2,68,0,0,0,0,0,0,0,0,,,
R069,coder2,69,0,0,0,0,0,0,0,0,,,
R070,coder2,70,0,0,0,0,0,0,0,0,,,
R071,coder2,71,0,0,0,0,0,0,0,0,,,
R072,coder2,72,0,0,0,0,0,0,0,0,,,
R073,coder2,73,0,0,0,0,0,0,0,0,,,
R074,coder2,74,0,0,0,0,0,0,0,0,,,
R075,coder2,75,0,0,0,0,0,0,0,0,,,
R076,coder2,76,0,0,0,0,0,0,0,0,,,
R077,coder2,77,0,0,0,0,0,0,0,0,,,
R078,coder2,78,0,0,0,0,0,0,0,0,,,
R079,coder2,79,0,0,0,0,0,0,0,0,,,
R080,coder2,80,0,0,0,0,0,0,0,0,,,
R081,coder2,81,0,0,0,0,0,0,0,0,,,
R082,coder2,82,0,0,0,0,0,0,0,0,,,
R083,coder2,83,0,0,0,0,0,0,0,0,,,
R084,coder2,84,0,0,0,0,0,0,0,0,,,
R085,coder2,85,0,0,0,0,0,0,0,0,,,
R086,coder2,86,0,0,0,0,0,0,0,0,,,
R087,coder2,87,0,0,0,0,0,0,0,0,,,
R088,coder2,88,0,0,0,0,0,0,0,0,,,
R089,coder2,89,0,0,0,0,0,0,0,0,,,
R090,coder2,90,0,0,0,0,0,0,0,0,,,
R091,coder2,91,0,0,0,0,0,0,0,0,,,
